year,era,zone,x,y,plate_x,plate_z,events,outcome
2013,Pre-Statcast (2013 MVP Runner-Up),1,1,3,-0.5611434320761812,3.0323592128884846,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),2,2,3,0.2650973410259194,3.400799427294895,strikeout,Out
2013,Pre-Statcast (2013 MVP Runner-Up),8,2,1,-0.18247040630661804,1.9908424456275136,single,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),2,2,3,0.02100709532102418,2.9001643629358895,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),5,2,2,0.27464529320546016,2.582628630834257,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),9,3,1,0.4088187486863427,1.866767289500623,single,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),6,3,2,0.3900988055193306,2.297416912599188,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),4,1,2,-0.34954774897872454,2.8438288161838834,single,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),6,3,2,0.3236003279327687,2.2426420486119625,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),6,3,2,0.4599089223969224,2.4546918364604084,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),5,2,2,0.12061021673051596,2.245990753011774,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),5,2,2,-0.07401209847021373,2.500559625517358,single,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),6,3,2,0.5479120635519956,2.347423608316784,grounded_into_double_play,Out
2013,Pre-Statcast (2013 MVP Runner-Up),8,2,1,-0.07644065791294008,1.7661498707994632,double,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),6,3,2,0.5786783375983189,2.25286742390604,grounded_into_double_play,Out
2013,Pre-Statcast (2013 MVP Runner-Up),5,2,2,-0.20936736486764865,2.4322443033979426,strikeout,Out
2013,Pre-Statcast (2013 MVP Runner-Up),9,3,1,0.42767011701540225,1.518396602245612,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),6,3,2,0.5789360049291252,2.46541564720758,strikeout,Out
2013,Pre-Statcast (2013 MVP Runner-Up),4,1,2,-0.7859634130448518,2.212706682146919,double,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),2,2,3,0.2544918774202308,2.875333451131586,grounded_into_double_play,Out
2013,Pre-Statcast (2013 MVP Runner-Up),1,1,3,-0.4294109594831014,3.137337440437798,double_play,Out
2013,Pre-Statcast (2013 MVP Runner-Up),1,1,3,-0.3678642552744684,3.0982584255716494,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),8,2,1,-0.03678351322329354,1.424953102261093,single,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),1,1,3,-0.40000720027079983,3.352575338237358,strikeout,Out
2013,Pre-Statcast (2013 MVP Runner-Up),7,1,1,-0.36086053418687,2.0304303185090293,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),4,1,2,-0.28697141337563253,2.5252674847064096,grounded_into_double_play,Out
2013,Pre-Statcast (2013 MVP Runner-Up),9,3,1,0.47580510707233936,1.5254065754101125,single,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),7,1,1,-0.3626742125636022,1.6804559774370675,home_run,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),7,1,1,-0.5837031430745716,1.472563691658514,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),8,2,1,0.2589449019113709,1.7434002483739008,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),9,3,1,0.4101362170463172,2.0893961443947187,double,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),8,2,1,-0.20042840396090145,1.88366170051808,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),9,3,1,0.6750966189281336,2.095089058946513,strikeout,Out
2013,Pre-Statcast (2013 MVP Runner-Up),5,2,2,0.25172632395902483,2.28270179392226,home_run,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),5,2,2,-0.23034227435893917,2.2736450785173257,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),9,3,1,0.3599488934673819,1.8981336049429065,double,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),5,2,2,0.16577715254872627,2.3515967870430337,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),6,3,2,0.6009959486742282,2.356459474836424,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),1,1,3,-0.5464738237485076,3.3276291574387713,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),3,3,3,0.7384087772457958,3.1591786664224917,home_run,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),5,2,2,0.249806185184836,2.486940654749875,double,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),8,2,1,0.08656039031806964,1.969242253246942,home_run,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),9,3,1,0.3410105357695795,2.0977349226648108,single,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),8,2,1,0.17919404452681098,1.6835827008570181,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),9,3,1,0.5179699511482276,1.7922488509133414,strikeout,Out
2013,Pre-Statcast (2013 MVP Runner-Up),7,1,1,-0.3569811309617992,2.0142541255753352,triple,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),7,1,1,-0.6015662027573648,1.5437657145155574,strikeout,Out
2013,Pre-Statcast (2013 MVP Runner-Up),8,2,1,-0.04171542418734209,2.030173857458384,single,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),4,1,2,-0.560885264296505,2.7346387078947707,single,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),6,3,2,0.723666972619169,2.702544007369704,single,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),9,3,1,0.47152805022987526,1.9723292419541585,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),6,3,2,0.30746047403558596,2.394575056267662,single,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),5,2,2,-0.14046616852871918,2.8401886642195557,strikeout,Out
2013,Pre-Statcast (2013 MVP Runner-Up),5,2,2,-0.2515825195174586,2.2600913278440036,double,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),8,2,1,0.05253509379547533,2.0840238284627186,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),6,3,2,0.6951395775733372,2.7089655093416822,strikeout,Out
2013,Pre-Statcast (2013 MVP Runner-Up),1,1,3,-0.7137977956480039,3.0788356801711565,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),6,3,2,0.4700558806084687,2.6146899593901725,strikeout,Out
2013,Pre-Statcast (2013 MVP Runner-Up),6,3,2,0.3492630911416882,2.6387121822750625,strikeout,Out
2013,Pre-Statcast (2013 MVP Runner-Up),8,2,1,0.18275257975639736,1.889225753206068,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),5,2,2,0.16736747108312366,2.508342372964912,triple,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),5,2,2,-0.13971583360058693,2.517579962607515,single,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),9,3,1,0.5557158289450884,1.9632907088208107,single,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),5,2,2,-0.16719922966900513,2.297435516251271,grounded_into_double_play,Out
2013,Pre-Statcast (2013 MVP Runner-Up),6,3,2,0.6608248448060912,2.7373150138844684,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),4,1,2,-0.5860227682186867,2.1678939870896317,double,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),9,3,1,0.3514693611006601,2.127954910233405,single,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),8,2,1,0.1640868181248951,2.115829198056417,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),6,3,2,0.711259267006373,2.4465232001438464,strikeout,Out
2013,Pre-Statcast (2013 MVP Runner-Up),8,2,1,0.07364156951907193,1.633611181921789,grounded_into_double_play,Out
2013,Pre-Statcast (2013 MVP Runner-Up),4,1,2,-0.693433876909056,2.8565178480418374,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),4,1,2,-0.5923256565544845,2.6361815721052606,strikeout,Out
2013,Pre-Statcast (2013 MVP Runner-Up),8,2,1,0.15790029269989958,1.7429183011455915,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),8,2,1,0.25516231545941054,2.0313382852933923,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),8,2,1,-0.03080974001078068,1.7831808146566883,grounded_into_double_play,Out
2013,Pre-Statcast (2013 MVP Runner-Up),8,2,1,-0.09463488622813354,1.8201635764951336,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),2,2,3,-0.23727046832551785,2.8740365253677105,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),3,3,3,0.7773920373032679,3.1113663313600615,strikeout,Out
2013,Pre-Statcast (2013 MVP Runner-Up),6,3,2,0.5626130475136439,2.2985384480616027,strikeout,Out
2013,Pre-Statcast (2013 MVP Runner-Up),5,2,2,-0.10459640047175288,2.7727866445322435,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),4,1,2,-0.5986611474639133,2.680737510534465,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),6,3,2,0.7364784391798114,2.6664199980871355,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),6,3,2,0.6015147476048066,2.598534378337223,force_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),4,1,2,-0.6364095089763435,2.5659408327974953,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),9,3,1,0.7504857155541467,2.118336780711822,double,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),9,3,1,0.577420637032268,1.897733731637854,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),2,2,3,0.0916541761751073,2.9943422339563126,single,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),6,3,2,0.7909964938286334,2.465154306608469,strikeout,Out
2013,Pre-Statcast (2013 MVP Runner-Up),3,3,3,0.4947860666569533,3.0684198030930583,triple,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),9,3,1,0.4924993790735911,1.6175937749166955,grounded_into_double_play,Out
2013,Pre-Statcast (2013 MVP Runner-Up),9,3,1,0.7545966200583305,1.6639953411269717,force_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),5,2,2,0.1637659904331733,2.361483500878467,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),2,2,3,0.15935885019040874,3.26255038680607,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),6,3,2,0.47282165473162,2.6075781285305775,single,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),5,2,2,-0.18392032283551435,2.3164490021456556,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),9,3,1,0.5187203659864298,2.0799159958893223,double,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),9,3,1,0.754662365653906,1.9550334743831024,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),5,2,2,-0.01098777023499686,2.5500660062850886,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),1,1,3,-0.43039077915325186,3.082926900847487,double,Hit
2013,Pre-Statcast (2013 MVP Runner-Up),8,2,1,-0.00439601747411838,2.0366245535466803,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),6,3,2,0.386857841851681,2.79357943992724,field_out,Out
2013,Pre-Statcast (2013 MVP Runner-Up),3,3,3,0.4207420148946849,3.09435516913678,single,Hit
