year,era,zone,x,y,plate_x,plate_z,pitch_type,description,outcome
2013,Pre-Statcast (2013 MVP Runner-Up),9,3,1,0.31288692596399237,1.564079074320914,Other,foul_tip,Contact / Foul
2022,Post-Statcast (2022 MVP),3,3,3,0.6817811935763546,3.008146819689845,Other,hit_into_play,Contact / Foul
2022,Post-Statcast (2022 MVP),9,3,1,0.6854119288846032,1.3229852138332006,Other,hit_into_play,Contact / Foul
2013,Pre-Statcast (2013 MVP Runner-Up),6,3,2,0.4183168406618487,2.31524806946856,Other,foul_tip,Contact / Foul
2013,Pre-Statcast (2013 MVP Runner-Up),6,3,2,0.3208719213044018,2.1922362621847302,Other,foul,Contact / Foul
2013,Pre-Statcast (2013 MVP Runner-Up),2,2,3,-0.18326845673245687,2.845860606130902,Other,hit_into_play,Contact / Foul
2013,Pre-Statcast (2013 MVP Runner-Up),9,3,1,0.3912553559416866,1.5212150899801935,Other,swinging_strike,Whiff (Miss)
2013,Pre-Statcast (2013 MVP Runner-Up),9,3,1,0.4305506587911416,1.553649178961894,Other,swinging_strike,Whiff (Miss)
2013,Pre-Statcast (2013 MVP Runner-Up),9,3,1,0.502293167877226,1.4492802770747248,Other,foul_tip,Contact / Foul
2013,Pre-Statcast (2013 MVP Runner-Up),9,3,1,0.4286460035309609,1.4132236790080719,Other,foul,Contact / Foul
2013,Pre-Statcast (2013 MVP Runner-Up),5,2,2,-0.06457550637942733,2.277081839434753,Other,foul_tip,Contact / Foul
2022,Post-Statcast (2022 MVP),5,2,2,-0.0695492778521056,2.1104803279629,Other,foul,Contact / Foul
2013,Pre-Statcast (2013 MVP Runner-Up),8,2,1,0.15069726716716936,1.30370686739204,Other,foul_tip,Contact / Foul
2022,Post-Statcast (2022 MVP),7,1,1,-0.46447555684083947,1.6088580694548915,Other,foul,Contact / Foul
2013,Pre-Statcast (2013 MVP Runner-Up),1,1,3,-0.6987018735593082,2.988836824523964,Other,foul_tip,Contact / Foul
2013,Pre-Statcast (2013 MVP Runner-Up),6,3,2,0.5838161947278353,2.2199988589947566,Other,swinging_strike,Whiff (Miss)
2013,Pre-Statcast (2013 MVP Runner-Up),6,3,2,0.5598242946824126,2.099844661237359,Other,hit_into_play,Contact / Foul
2022,Post-Statcast (2022 MVP),5,2,2,-0.1311201087373074,2.161189583372631,Other,foul_tip,Contact / Foul
2013,Pre-Statcast (2013 MVP Runner-Up),2,2,3,0.05369518355403191,2.8055935606521634,Other,foul,Contact / Foul
2013,Pre-Statcast (2013 MVP Runner-Up),1,1,3,-0.5932088711803547,3.074661835084997,Other,foul_tip,Contact / Foul
2022,Post-Statcast (2022 MVP),5,2,2,0.18422350011030314,2.1494363120333495,Other,foul_tip,Contact / Foul
2022,Post-Statcast (2022 MVP),1,1,3,-0.3128947658065579,3.0127897478414303,Other,foul,Contact / Foul
2013,Pre-Statcast (2013 MVP Runner-Up),8,2,1,0.07229835582765665,1.6214610120454827,Other,foul,Contact / Foul
2022,Post-Statcast (2022 MVP),6,3,2,0.646999101879292,2.152667687922235,Other,foul,Contact / Foul
2022,Post-Statcast (2022 MVP),8,2,1,-0.07288562510650984,1.480258391285974,Other,foul_tip,Contact / Foul
2013,Pre-Statcast (2013 MVP Runner-Up),9,3,1,0.6134192555921849,1.480220077903877,Other,swinging_strike,Whiff (Miss)
2022,Post-Statcast (2022 MVP),7,1,1,-0.5207605657338504,1.6426356896712069,Other,foul,Contact / Foul
2013,Pre-Statcast (2013 MVP Runner-Up),8,2,1,0.033480856739514536,1.618701925572059,Other,foul_tip,Contact / Foul
2022,Post-Statcast (2022 MVP),4,1,2,-0.31097630561304307,2.0569493940819874,Other,foul,Contact / Foul
2013,Pre-Statcast (2013 MVP Runner-Up),9,3,1,0.33740020217084377,1.4517056088959264,Other,foul_tip,Contact / Foul
2022,Post-Statcast (2022 MVP),6,3,2,0.3515723201713211,2.153420190523078,Other,foul_tip,Contact / Foul
2022,Post-Statcast (2022 MVP),5,2,2,-0.1867715821968059,2.0202237126768563,Other,swinging_strike,Whiff (Miss)
2022,Post-Statcast (2022 MVP),7,1,1,-0.3173192119952693,1.6903290888224505,Other,swinging_strike,Whiff (Miss)
2013,Pre-Statcast (2013 MVP Runner-Up),6,3,2,0.5011455145797499,2.3472846509677554,Other,swinging_strike,Whiff (Miss)
2013,Pre-Statcast (2013 MVP Runner-Up),9,3,1,0.3316076975257741,1.683719117659412,Other,foul,Contact / Foul
