year,era,zone,x,y,name,ab,hits,ba,ba_label
2013,Pre-Statcast (2013 MVP Runner-Up),1,1,3,Up-In,30,11,0.367,.367
2013,Pre-Statcast (2013 MVP Runner-Up),2,2,3,Up-Mid,37,15,0.405,.405
2013,Pre-Statcast (2013 MVP Runner-Up),3,3,3,Up-Away,37,16,0.432,.432
2013,Pre-Statcast (2013 MVP Runner-Up),4,1,2,Mid-In,60,22,0.367,.367
2013,Pre-Statcast (2013 MVP Runner-Up),5,2,2,Heart,87,29,0.333,.333
2013,Pre-Statcast (2013 MVP Runner-Up),6,3,2,Mid-Away,76,21,0.276,.276
2013,Pre-Statcast (2013 MVP Runner-Up),7,1,1,Low-In,19,7,0.368,.368
2013,Pre-Statcast (2013 MVP Runner-Up),8,2,1,Low-Mid,54,14,0.259,.259
2013,Pre-Statcast (2013 MVP Runner-Up),9,3,1,Low-Away,70,18,0.257,.257
2022,Post-Statcast (2022 MVP),1,1,3,Up-In,27,8,0.296,.296
2022,Post-Statcast (2022 MVP),2,2,3,Up-Mid,44,14,0.318,.318
2022,Post-Statcast (2022 MVP),3,3,3,Up-Away,32,5,0.156,.156
2022,Post-Statcast (2022 MVP),4,1,2,Mid-In,53,20,0.377,.377
2022,Post-Statcast (2022 MVP),5,2,2,Heart,73,29,0.397,.397
2022,Post-Statcast (2022 MVP),6,3,2,Mid-Away,49,14,0.286,.286
2022,Post-Statcast (2022 MVP),7,1,1,Low-In,45,14,0.311,.311
2022,Post-Statcast (2022 MVP),8,2,1,Low-Mid,64,25,0.391,.391
2022,Post-Statcast (2022 MVP),9,3,1,Low-Away,40,14,0.35,.350
