year,era,zone,x,y,name,pitches,swings,swing_pct
2013,Pre-Statcast (2013 MVP Runner-Up),1,1,3,Up-In,94,62,66
2013,Pre-Statcast (2013 MVP Runner-Up),2,2,3,Up-Mid,116,89,76.7
2013,Pre-Statcast (2013 MVP Runner-Up),3,3,3,Up-Away,123,75,61
2013,Pre-Statcast (2013 MVP Runner-Up),4,1,2,Mid-In,152,108,71.1
2013,Pre-Statcast (2013 MVP Runner-Up),5,2,2,Heart,243,165,67.9
2013,Pre-Statcast (2013 MVP Runner-Up),6,3,2,Mid-Away,255,142,55.7
2013,Pre-Statcast (2013 MVP Runner-Up),7,1,1,Low-In,88,52,59.1
2013,Pre-Statcast (2013 MVP Runner-Up),8,2,1,Low-Mid,176,94,53.4
2013,Pre-Statcast (2013 MVP Runner-Up),9,3,1,Low-Away,236,113,47.9
2022,Post-Statcast (2022 MVP),1,1,3,Up-In,95,58,61.1
2022,Post-Statcast (2022 MVP),2,2,3,Up-Mid,127,84,66.1
2022,Post-Statcast (2022 MVP),3,3,3,Up-Away,99,57,57.6
2022,Post-Statcast (2022 MVP),4,1,2,Mid-In,140,97,69.3
2022,Post-Statcast (2022 MVP),5,2,2,Heart,193,129,66.8
2022,Post-Statcast (2022 MVP),6,3,2,Mid-Away,185,103,55.7
2022,Post-Statcast (2022 MVP),7,1,1,Low-In,124,80,64.5
2022,Post-Statcast (2022 MVP),8,2,1,Low-Mid,196,109,55.6
2022,Post-Statcast (2022 MVP),9,3,1,Low-Away,194,96,49.5
