year,era,zone,x,y,name,swings,whiffs,whiff_pct
2013,Pre-Statcast (2013 MVP Runner-Up),1,1,3,Up-In,62,7,11.3
2013,Pre-Statcast (2013 MVP Runner-Up),2,2,3,Up-Mid,83,16,19.3
2013,Pre-Statcast (2013 MVP Runner-Up),3,3,3,Up-Away,75,20,26.7
2013,Pre-Statcast (2013 MVP Runner-Up),4,1,2,Mid-In,104,12,11.5
2013,Pre-Statcast (2013 MVP Runner-Up),5,2,2,Heart,164,29,17.7
2013,Pre-Statcast (2013 MVP Runner-Up),6,3,2,Mid-Away,139,29,20.9
2013,Pre-Statcast (2013 MVP Runner-Up),7,1,1,Low-In,52,15,28.8
2013,Pre-Statcast (2013 MVP Runner-Up),8,2,1,Low-Mid,91,8,8.8
2013,Pre-Statcast (2013 MVP Runner-Up),9,3,1,Low-Away,111,28,25.2
2022,Post-Statcast (2022 MVP),1,1,3,Up-In,55,9,16.4
2022,Post-Statcast (2022 MVP),2,2,3,Up-Mid,80,16,20.0
2022,Post-Statcast (2022 MVP),3,3,3,Up-Away,53,16,30.2
2022,Post-Statcast (2022 MVP),4,1,2,Mid-In,92,13,14.1
2022,Post-Statcast (2022 MVP),5,2,2,Heart,121,38,31.4
2022,Post-Statcast (2022 MVP),6,3,2,Mid-Away,98,26,26.5
2022,Post-Statcast (2022 MVP),7,1,1,Low-In,74,9,12.2
2022,Post-Statcast (2022 MVP),8,2,1,Low-Mid,107,14,13.1
2022,Post-Statcast (2022 MVP),9,3,1,Low-Away,92,25,27.2
