year,era,zone,x,y,name,ab,hits,ba,ba_label
2014,Pre-Statcast (2014 Breakout),1,1,3,Up-In,18,5,0.278,.278
2014,Pre-Statcast (2014 Breakout),2,2,3,Up-Mid,18,5,0.278,.278
2014,Pre-Statcast (2014 Breakout),3,3,3,Up-Away,12,0,0,.000
2014,Pre-Statcast (2014 Breakout),4,1,2,Mid-In,47,21,0.447,.447
2014,Pre-Statcast (2014 Breakout),5,2,2,Heart,36,19,0.528,.528
2014,Pre-Statcast (2014 Breakout),6,3,2,Mid-Away,55,21,0.382,.382
2014,Pre-Statcast (2014 Breakout),7,1,1,Low-In,35,14,0.4,.400
2014,Pre-Statcast (2014 Breakout),8,2,1,Low-Mid,56,18,0.321,.321
2014,Pre-Statcast (2014 Breakout),9,3,1,Low-Away,36,11,0.306,.306
2018,Post-Statcast (2018 All-Star),1,1,3,Up-In,33,4,0.121,.121
2018,Post-Statcast (2018 All-Star),2,2,3,Up-Mid,39,11,0.282,.282
2018,Post-Statcast (2018 All-Star),3,3,3,Up-Away,19,10,0.526,.526
2018,Post-Statcast (2018 All-Star),4,1,2,Mid-In,60,31,0.517,.517
2018,Post-Statcast (2018 All-Star),5,2,2,Heart,63,30,0.476,.476
2018,Post-Statcast (2018 All-Star),6,3,2,Mid-Away,42,14,0.333,.333
2018,Post-Statcast (2018 All-Star),7,1,1,Low-In,32,16,0.5,.500
2018,Post-Statcast (2018 All-Star),8,2,1,Low-Mid,57,22,0.386,.386
2018,Post-Statcast (2018 All-Star),9,3,1,Low-Away,47,14,0.298,.298
