year,era,zone,x,y,name,pitches,swings,swing_pct
2014,Pre-Statcast (2014 Breakout),1,1,3,Up-In,69,51,73.9
2014,Pre-Statcast (2014 Breakout),2,2,3,Up-Mid,65,50,76.9
2014,Pre-Statcast (2014 Breakout),3,3,3,Up-Away,51,30,58.8
2014,Pre-Statcast (2014 Breakout),4,1,2,Mid-In,103,83,80.6
2014,Pre-Statcast (2014 Breakout),5,2,2,Heart,134,115,85.8
2014,Pre-Statcast (2014 Breakout),6,3,2,Mid-Away,137,103,75.2
2014,Pre-Statcast (2014 Breakout),7,1,1,Low-In,98,77,78.6
2014,Pre-Statcast (2014 Breakout),8,2,1,Low-Mid,145,119,82.1
2014,Pre-Statcast (2014 Breakout),9,3,1,Low-Away,118,70,59.3
2018,Post-Statcast (2018 All-Star),1,1,3,Up-In,92,76,82.6
2018,Post-Statcast (2018 All-Star),2,2,3,Up-Mid,93,74,79.6
2018,Post-Statcast (2018 All-Star),3,3,3,Up-Away,88,56,63.6
2018,Post-Statcast (2018 All-Star),4,1,2,Mid-In,151,127,84.1
2018,Post-Statcast (2018 All-Star),5,2,2,Heart,176,155,88.1
2018,Post-Statcast (2018 All-Star),6,3,2,Mid-Away,143,98,68.5
2018,Post-Statcast (2018 All-Star),7,1,1,Low-In,101,69,68.3
2018,Post-Statcast (2018 All-Star),8,2,1,Low-Mid,144,108,75
2018,Post-Statcast (2018 All-Star),9,3,1,Low-Away,177,108,61
