year,era,zone,x,y,plate_x,plate_z,events,outcome
2014,Pre-Statcast (2014 MVP Runner-Up),4,1,2,-0.8071420319429291,2.4618948069378517,double,Hit
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,-0.23926659394128127,2.5704107166892056,field_out,Out
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,0.6084589791158119,2.2996682823320516,field_out,Out
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,0.5293197753522793,2.4380305224557564,field_out,Out
2014,Pre-Statcast (2014 MVP Runner-Up),2,2,3,0.14860566059764957,3.1499734355213036,strikeout,Out
2014,Pre-Statcast (2014 MVP Runner-Up),3,3,3,0.33228392486977687,3.4078585525486846,home_run,Hit
2014,Pre-Statcast (2014 MVP Runner-Up),4,1,2,-0.7407763078770796,2.409071843447778,field_out,Out
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,0.23895145658686773,2.3381998000597015,field_out,Out
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,0.6702924286607888,2.9810690667803748,field_out,Out
2014,Pre-Statcast (2014 MVP Runner-Up),7,1,1,-0.4588456383398246,1.754776216760798,field_out,Out
2014,Pre-Statcast (2014 MVP Runner-Up),2,2,3,0.16294920822877912,3.226970899495474,field_out,Out
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,0.21760164219859313,2.8726607867723635,field_out,Out
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,0.7728415863752799,2.416992959381584,double,Hit
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,-0.2658197532846571,2.2194633980932017,single,Hit
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,0.7547535913252019,1.9056704833335243,field_out,Out
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,0.20404713151379833,2.715155699664972,strikeout,Out
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,0.5138018203423915,2.0686641952677483,grounded_into_double_play,Out
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,0.5487598075091725,2.1769576640005237,single,Hit
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,0.7432411405327739,2.3270763677979165,double,Hit
2014,Pre-Statcast (2014 MVP Runner-Up),7,1,1,-0.6659313737642367,1.6946218957662418,home_run,Hit
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,0.5318583063797637,2.0527872309756536,field_out,Out
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,-0.11019246203045543,3.124701678585574,field_out,Out
2014,Pre-Statcast (2014 MVP Runner-Up),4,1,2,-0.8237193275525729,2.8409333975245605,field_out,Out
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,-0.0191199615867724,2.556638023888894,field_out,Out
2014,Pre-Statcast (2014 MVP Runner-Up),7,1,1,-0.44658929448788176,2.3502551675186325,field_out,Out
