year,era,zone,x,y,plate_x,plate_z,pitch_type,description,outcome
2014,Pre-Statcast (2014 MVP Runner-Up),4,1,2,-0.8071420319429291,2.4618948069378517,CH,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,-0.23926659394128127,2.5704107166892056,FC,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,0.6084589791158119,2.2996682823320516,SL,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,0.6064097615739344,2.466662930130206,SL,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),1,1,3,-0.77544290455028,3.476870566573017,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,0.12908313647459202,2.7790730917283666,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,0.5293197753522793,2.4380305224557564,FF,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),2,2,3,0.14860566059764957,3.1499734355213036,FF,swinging_strike,Whiff (Miss)
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,0.03843353710569497,2.149117019532256,SI,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),3,3,3,0.33228392486977687,3.4078585525486846,SL,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),1,1,3,-0.6937850548392531,3.631569861199165,FF,swinging_strike,Whiff (Miss)
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,-0.08933705247864654,1.893021337585466,CH,swinging_strike,Whiff (Miss)
2014,Pre-Statcast (2014 MVP Runner-Up),4,1,2,-0.7407763078770796,2.409071843447778,FF,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,0.23895145658686773,2.3381998000597015,SL,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,0.04163407475614961,2.360171671756082,SL,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),2,2,3,-0.26702388829722024,3.937806190924034,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,0.08244597117104141,1.7057753245993577,SL,swinging_strike,Whiff (Miss)
2014,Pre-Statcast (2014 MVP Runner-Up),2,2,3,0.08170675085729129,3.2739655003210624,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,0.6065065595066658,2.9287176535457133,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,0.6702924286607888,2.9810690667803748,SI,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),7,1,1,-0.4588456383398246,1.754776216760798,KC,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,0.392051012914338,2.4308084500955243,SI,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),2,2,3,0.16294920822877912,3.226970899495474,FF,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,0.21760164219859313,2.8726607867723635,SI,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,0.3843725060828051,2.541626984668658,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,0.7995340209095516,3.006359548882677,SI,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,0.7728415863752799,2.416992959381584,SL,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,0.5579425692937701,2.8656019200496385,SL,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,-0.2658197532846571,2.2194633980932017,CH,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,0.5151024740209438,2.305541506460502,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,0.7547535913252019,1.9056704833335243,CH,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,-0.2415451224283746,2.5557073538688853,FF,foul_tip,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,0.20404713151379833,2.715155699664972,FF,swinging_strike,Whiff (Miss)
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,0.5877005464399655,2.007693454361224,SI,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),7,1,1,-0.48446497271309663,2.5985701738465967,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,0.5138018203423915,2.0686641952677483,CU,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,0.5487598075091725,2.1769576640005237,FF,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,0.7432411405327739,2.3270763677979165,FC,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,0.7249523589442612,3.149821411066652,SI,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),7,1,1,-0.6659313737642367,1.6946218957662418,FF,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,0.5318583063797637,2.0527872309756536,SI,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,-0.11019246203045543,3.124701678585574,FF,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),4,1,2,-0.8237193275525729,2.8409333975245605,FF,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,0.4943570103792919,2.711808621375345,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,-0.0191199615867724,2.556638023888894,FC,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),7,1,1,-0.44658929448788176,2.3502551675186325,FC,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,0.1845952838952556,2.1163464378170778,SI,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),4,1,2,-0.4504982808264305,2.8107292715187553,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,-0.09658512992276524,2.1852553858837473,SL,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,-0.15406015009202534,2.111733991504539,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,0.22999791268224645,2.1647224915093677,FF,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,0.1358445412724164,1.7467202666792452,SL,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),4,1,2,-0.46830532285208326,2.807070631775221,CU,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),7,1,1,-0.5072788540413191,2.3100290226020945,CU,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,0.5628636203199575,2.486388401158289,CU,swinging_strike,Whiff (Miss)
2014,Pre-Statcast (2014 MVP Runner-Up),7,1,1,-0.5742062998607366,2.2126602446313934,CH,swinging_strike,Whiff (Miss)
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,0.6856099573234835,2.701672078073732,SL,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,-0.09145738364002765,1.9030335338906004,SL,swinging_strike,Whiff (Miss)
2014,Pre-Statcast (2014 MVP Runner-Up),1,1,3,-0.7061697425938731,3.5113221381679103,FF,swinging_strike,Whiff (Miss)
2014,Pre-Statcast (2014 MVP Runner-Up),1,1,3,-0.5906739313329923,3.6325036656274854,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),2,2,3,-0.07433097665932875,3.481417966841432,SI,swinging_strike,Whiff (Miss)
2014,Pre-Statcast (2014 MVP Runner-Up),4,1,2,-0.4506491726539559,2.858853478503226,SI,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,0.4516612047362432,1.6712227269262927,CU,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),4,1,2,-0.3220214357873208,3.0499945094161545,SI,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,0.5167126467951162,2.9497948251162973,CH,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),4,1,2,-0.3719612713129191,2.7737775346621403,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,0.540607291490386,1.590672387662117,CH,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,-0.04986394147389311,1.8863904341164712,CH,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,0.5784494854451185,2.75501776232524,SL,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),7,1,1,-0.4258322609362247,1.9048372906710984,CH,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,0.455179766436781,2.87487829607985,FF,swinging_strike,Whiff (Miss)
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,-0.00540091828205657,2.651004144253275,CH,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,0.6687402667551633,2.6863110469375973,CH,foul_tip,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,0.20426201157224333,3.0777135055279503,SL,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,-0.03423121087194947,2.6034815098400585,CH,swinging_strike,Whiff (Miss)
2014,Pre-Statcast (2014 MVP Runner-Up),3,3,3,0.3808674330877808,3.72974661695159,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),4,1,2,-0.38003392450734474,2.934035134995916,FF,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),4,1,2,-0.3628154792152941,2.5365083737630587,SI,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,-0.23427711159141917,2.861201114807461,FF,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),7,1,1,-0.41524606253027896,2.1343672748915075,SL,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),4,1,2,-0.810974515404638,2.568452206266121,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),2,2,3,0.1252898290619323,3.2989359171984103,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,0.4277070245271781,2.7244694255464545,SL,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),4,1,2,-0.442935195073535,2.834237333050805,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,0.4942930656701932,2.5571619419437215,SL,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),4,1,2,-0.7488233122400059,3.0445243782796796,SL,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,0.6352056426252081,2.931221177026055,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),1,1,3,-0.4234441071072253,3.376687353795345,ST,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,-0.24055993329624537,2.481908325292041,CU,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,0.7651222532919445,2.647207735841961,CH,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),1,1,3,-0.6015920099777227,3.276487486697756,SL,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),2,2,3,0.00470255472747288,3.635288420379315,SL,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,-0.263890606791777,2.569667394337258,SI,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,0.2636130101825872,1.9083433484549583,CU,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,-0.06281427167489995,1.9399063469415916,SI,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),2,2,3,0.25189993817683737,3.418902494138369,SL,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,0.8180633223878835,1.9022925054596056,SL,swinging_strike,Whiff (Miss)
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,0.0885920220380807,2.19929632249099,FF,swinging_strike,Whiff (Miss)
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,0.0744146511585615,2.7351202480302996,SL,foul_tip,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,0.00727455837168483,2.877767862858705,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,0.6330068006722648,2.453968328464181,SL,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,0.10534664147736428,3.08109675315349,SL,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,-0.1611557554734498,2.3192115958773267,SL,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),3,3,3,0.6435900186413126,3.1998125851678347,FF,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),4,1,2,-0.8107818054868422,3.340077044066758,FC,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,0.7603498734928814,2.381836217790597,FC,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,0.7696674670125101,1.7989571007970109,FC,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,-0.0917945712270104,2.143826218109116,CH,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),7,1,1,-0.8190429609132239,1.71018675018141,FF,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,-0.26993541129491083,3.2864845955932354,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,0.4226126005604862,2.14597992237366,CH,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),4,1,2,-0.7532604909836971,2.658990240504373,FF,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,0.371822802133537,2.035400474274142,SL,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,0.05652968372764577,2.660203598954333,FF,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,0.2165482298480508,2.2122018777184778,CH,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),2,2,3,0.1787594227069943,3.7938666825759944,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),4,1,2,-0.39576922802144543,2.8227250867011344,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),2,2,3,0.00375712123113924,3.414674677371304,FF,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,-0.23611913898108472,2.410276162310303,SL,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),7,1,1,-0.5340551324314058,2.0444698615460855,SL,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,-0.2445126491696888,2.4095319991401114,CU,swinging_strike,Whiff (Miss)
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,0.335818667810631,1.9886317119942984,FC,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,0.6065568939288373,2.2946456452780817,FC,hit_into_play,Contact / Foul
