year,era,zone,x,y,name,ab,hits,ba,ba_label
2014,Pre-Statcast (2014 MVP Runner-Up),1,1,3,Up-In,15,6,0.4,.400
2014,Pre-Statcast (2014 MVP Runner-Up),2,2,3,Up-Mid,18,6,0.333,.333
2014,Pre-Statcast (2014 MVP Runner-Up),3,3,3,Up-Away,13,7,0.538,.538
2014,Pre-Statcast (2014 MVP Runner-Up),4,1,2,Mid-In,57,24,0.421,.421
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,Heart,52,24,0.462,.462
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,Mid-Away,40,14,0.35,.350
2014,Pre-Statcast (2014 MVP Runner-Up),7,1,1,Low-In,27,9,0.333,.333
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,Low-Mid,53,17,0.321,.321
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,Low-Away,61,17,0.279,.279
2017,Post-Statcast (2017 MVP),1,1,3,Up-In,23,5,0.217,.217
2017,Post-Statcast (2017 MVP),2,2,3,Up-Mid,25,5,0.2,.200
2017,Post-Statcast (2017 MVP),3,3,3,Up-Away,12,2,0.167,.167
2017,Post-Statcast (2017 MVP),4,1,2,Mid-In,63,25,0.397,.397
2017,Post-Statcast (2017 MVP),5,2,2,Heart,61,25,0.41,.410
2017,Post-Statcast (2017 MVP),6,3,2,Mid-Away,61,18,0.295,.295
2017,Post-Statcast (2017 MVP),7,1,1,Low-In,47,18,0.383,.383
2017,Post-Statcast (2017 MVP),8,2,1,Low-Mid,70,26,0.371,.371
2017,Post-Statcast (2017 MVP),9,3,1,Low-Away,62,17,0.274,.274
