year,era,zone,x,y,name,pitches,swings,swing_pct
2014,Pre-Statcast (2014 MVP Runner-Up),1,1,3,Up-In,57,43,75.4
2014,Pre-Statcast (2014 MVP Runner-Up),2,2,3,Up-Mid,72,51,70.8
2014,Pre-Statcast (2014 MVP Runner-Up),3,3,3,Up-Away,51,28,54.9
2014,Pre-Statcast (2014 MVP Runner-Up),4,1,2,Mid-In,138,98,71
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,Heart,148,107,72.3
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,Mid-Away,149,83,55.7
2014,Pre-Statcast (2014 MVP Runner-Up),7,1,1,Low-In,97,54,55.7
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,Low-Mid,150,95,63.3
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,Low-Away,181,103,56.9
2017,Post-Statcast (2017 MVP),1,1,3,Up-In,74,59,79.7
2017,Post-Statcast (2017 MVP),2,2,3,Up-Mid,109,80,73.4
2017,Post-Statcast (2017 MVP),3,3,3,Up-Away,59,33,55.9
2017,Post-Statcast (2017 MVP),4,1,2,Mid-In,151,108,71.5
2017,Post-Statcast (2017 MVP),5,2,2,Heart,191,144,75.4
2017,Post-Statcast (2017 MVP),6,3,2,Mid-Away,164,113,68.9
2017,Post-Statcast (2017 MVP),7,1,1,Low-In,117,75,64.1
2017,Post-Statcast (2017 MVP),8,2,1,Low-Mid,161,96,59.6
2017,Post-Statcast (2017 MVP),9,3,1,Low-Away,178,93,52.2
