year,era,zone,x,y,name,swings,whiffs,whiff_pct
2014,Pre-Statcast (2014 MVP Runner-Up),1,1,3,Up-In,43,11,25.6
2014,Pre-Statcast (2014 MVP Runner-Up),2,2,3,Up-Mid,51,11,21.6
2014,Pre-Statcast (2014 MVP Runner-Up),3,3,3,Up-Away,28,4,14.3
2014,Pre-Statcast (2014 MVP Runner-Up),4,1,2,Mid-In,98,6,6.1
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,Heart,107,16,15
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,Mid-Away,83,11,13.3
2014,Pre-Statcast (2014 MVP Runner-Up),7,1,1,Low-In,54,12,22.2
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,Low-Mid,95,24,25.3
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,Low-Away,103,29,28.2
2017,Post-Statcast (2017 MVP),1,1,3,Up-In,59,17,28.8
2017,Post-Statcast (2017 MVP),2,2,3,Up-Mid,80,34,42.5
2017,Post-Statcast (2017 MVP),3,3,3,Up-Away,33,9,27.3
2017,Post-Statcast (2017 MVP),4,1,2,Mid-In,108,7,6.5
2017,Post-Statcast (2017 MVP),5,2,2,Heart,144,25,17.4
2017,Post-Statcast (2017 MVP),6,3,2,Mid-Away,113,17,15
2017,Post-Statcast (2017 MVP),7,1,1,Low-In,75,12,16
2017,Post-Statcast (2017 MVP),8,2,1,Low-Mid,96,17,17.7
2017,Post-Statcast (2017 MVP),9,3,1,Low-Away,93,21,22.6
