year,era,zone,x,y,plate_x,plate_z,events,outcome
2014,Pre-Statcast (2014 MVP),2,2,3,0.17069658472093296,3.576235886789843,strikeout,Out
2014,Pre-Statcast (2014 MVP),4,1,2,-0.47239356770938,2.866078271216977,home_run,Hit
2014,Pre-Statcast (2014 MVP),3,3,3,0.459539829223087,3.477992422255911,strikeout,Out
2014,Pre-Statcast (2014 MVP),5,2,2,0.0725250931410033,2.3136176490215963,force_out,Out
2014,Pre-Statcast (2014 MVP),4,1,2,-0.7471219659318257,2.9027787635679356,field_out,Out
2014,Pre-Statcast (2014 MVP),2,2,3,-0.2281221582546031,3.0497369217758594,field_out,Out
2014,Pre-Statcast (2014 MVP),7,1,1,-0.768190271888032,2.176497614803003,force_out,Out
2014,Pre-Statcast (2014 MVP),2,2,3,-0.1108406129284214,2.995898125449771,field_out,Out
2014,Pre-Statcast (2014 MVP),9,3,1,0.3187098058504023,1.7047571078648391,field_out,Out
2014,Pre-Statcast (2014 MVP),6,3,2,0.6133396629262624,2.8395730366696252,strikeout,Out
2014,Pre-Statcast (2014 MVP),2,2,3,0.07599014258560907,3.1114315209322276,field_out,Out
2014,Pre-Statcast (2014 MVP),7,1,1,-0.3070231228020069,1.8413454945297585,home_run,Hit
2014,Pre-Statcast (2014 MVP),2,2,3,0.22905343143760148,3.6239620464763393,field_out,Out
2014,Pre-Statcast (2014 MVP),9,3,1,0.4112607644475542,1.9489219613402624,field_out,Out
2014,Pre-Statcast (2014 MVP),5,2,2,-0.18011033319778214,2.6356848547854774,strikeout,Out
2014,Pre-Statcast (2014 MVP),7,1,1,-0.5048837382529117,1.6644184690351835,single,Hit
2014,Pre-Statcast (2014 MVP),1,1,3,-0.6699008088626538,3.2616712307729925,strikeout,Out
2014,Pre-Statcast (2014 MVP),2,2,3,-0.05973449352227289,3.3469971610715046,field_out,Out
2014,Pre-Statcast (2014 MVP),5,2,2,-0.11652891583796054,2.294240254409415,field_out,Out
2014,Pre-Statcast (2014 MVP),3,3,3,0.6763994076211143,3.361641001035425,strikeout,Out
2014,Pre-Statcast (2014 MVP),5,2,2,-0.01081785174479271,2.6939343780303022,single,Hit
2014,Pre-Statcast (2014 MVP),4,1,2,-0.3003384527301203,2.6319726638663403,single,Hit
2014,Pre-Statcast (2014 MVP),6,3,2,0.4712331372382753,2.7456143102465536,triple,Hit
2014,Pre-Statcast (2014 MVP),2,2,3,0.24174877303858505,3.0066059549916413,home_run,Hit
2014,Pre-Statcast (2014 MVP),9,3,1,0.5891384782570149,1.973069649526744,strikeout,Out
2014,Pre-Statcast (2014 MVP),8,2,1,0.12056391842183722,1.767091844167215,strikeout,Out
2014,Pre-Statcast (2014 MVP),6,3,2,0.8081202535569798,2.344462952615885,strikeout,Out
2014,Pre-Statcast (2014 MVP),7,1,1,-0.8161864039424971,2.016230952915542,field_out,Out
2014,Pre-Statcast (2014 MVP),9,3,1,0.7342027150636765,1.7172018493114978,strikeout,Out
2014,Pre-Statcast (2014 MVP),2,2,3,-0.26206923139628446,3.158048243883382,strikeout,Out
2014,Pre-Statcast (2014 MVP),8,2,1,-0.23017351280647264,2.20564910608529,field_out,Out
2014,Pre-Statcast (2014 MVP),8,2,1,0.01321883922343736,2.2313086918084504,field_out,Out
2014,Pre-Statcast (2014 MVP),1,1,3,-0.5720917244285808,3.0260938392142864,single,Hit
2014,Pre-Statcast (2014 MVP),7,1,1,-0.6361353670636474,1.9225654611561935,strikeout,Out
2014,Pre-Statcast (2014 MVP),4,1,2,-0.6164992523504582,2.8971449537425267,single,Hit
2014,Pre-Statcast (2014 MVP),4,1,2,-0.8029321150396477,2.8853320172621593,single,Hit
2014,Pre-Statcast (2014 MVP),1,1,3,-0.6533904536209609,3.261836976973871,strikeout,Out
2014,Pre-Statcast (2014 MVP),6,3,2,0.2795190903901277,2.3694499407243743,double,Hit
2014,Pre-Statcast (2014 MVP),9,3,1,0.44322432722892446,1.821682249706124,home_run,Hit
2014,Pre-Statcast (2014 MVP),6,3,2,0.6369159287855466,2.6009883826761397,home_run,Hit
2014,Pre-Statcast (2014 MVP),7,1,1,-0.79730710430855,1.889429954945422,double,Hit
2014,Pre-Statcast (2014 MVP),4,1,2,-0.5408762218732137,2.5667306606203604,field_out,Out
2014,Pre-Statcast (2014 MVP),8,2,1,-0.14988809129266634,1.6080427683285134,triple,Hit
2014,Pre-Statcast (2014 MVP),5,2,2,-0.18922892339073516,2.7403231319383794,strikeout,Out
2014,Pre-Statcast (2014 MVP),6,3,2,0.3002979006162498,2.616750594263891,field_out,Out
2014,Pre-Statcast (2014 MVP),2,2,3,-0.0226012243268191,3.261145229479303,strikeout,Out
2014,Pre-Statcast (2014 MVP),4,1,2,-0.33029295184187457,2.640438403725557,field_out,Out
2014,Pre-Statcast (2014 MVP),4,1,2,-0.2845078944584022,2.621093510023615,triple,Hit
2014,Pre-Statcast (2014 MVP),9,3,1,0.6880224290469269,1.6573530342863556,field_out,Out
2014,Pre-Statcast (2014 MVP),4,1,2,-0.3048928889512995,2.4608944709015343,strikeout,Out
2014,Pre-Statcast (2014 MVP),2,2,3,-0.2342427062514003,3.5656586229850555,strikeout,Out
2014,Pre-Statcast (2014 MVP),5,2,2,-0.26829900191946154,2.8351662848133548,home_run,Hit
2014,Pre-Statcast (2014 MVP),4,1,2,-0.7707720403301909,2.4168680879474485,double,Hit
2014,Pre-Statcast (2014 MVP),7,1,1,-0.8210212180319727,2.1345016102860144,strikeout,Out
2014,Pre-Statcast (2014 MVP),6,3,2,0.7633223683875885,2.532923298249904,strikeout,Out
2014,Pre-Statcast (2014 MVP),2,2,3,-0.1702949659139133,3.3474240260611205,strikeout,Out
2014,Pre-Statcast (2014 MVP),4,1,2,-0.6478760965976775,2.674572417365825,field_out,Out
2014,Pre-Statcast (2014 MVP),7,1,1,-0.7462299316136378,2.1279090269842635,field_out,Out
2014,Pre-Statcast (2014 MVP),8,2,1,0.10138732470708409,2.2052754755373827,strikeout,Out
2014,Pre-Statcast (2014 MVP),5,2,2,0.1427495002761583,2.3115407732460413,double,Hit
2014,Pre-Statcast (2014 MVP),7,1,1,-0.4631721606820588,1.9806824906097116,field_out,Out
2014,Pre-Statcast (2014 MVP),8,2,1,0.06431054906282047,2.109041732369911,field_out,Out
2014,Pre-Statcast (2014 MVP),6,3,2,0.2887416716940817,2.4976339065838076,field_out,Out
2014,Pre-Statcast (2014 MVP),3,3,3,0.5281863015235131,3.2785984332749405,field_out,Out
2014,Pre-Statcast (2014 MVP),1,1,3,-0.6436928395686456,3.106247358022444,field_out,Out
2014,Pre-Statcast (2014 MVP),7,1,1,-0.4360196739930202,2.1295929221182597,field_out,Out
2014,Pre-Statcast (2014 MVP),2,2,3,0.141125004466048,3.1692915759231286,strikeout,Out
2014,Pre-Statcast (2014 MVP),5,2,2,-0.1379027406233908,2.5424228021041353,home_run,Hit
2014,Pre-Statcast (2014 MVP),4,1,2,-0.38357984277065704,2.75111509460257,strikeout,Out
2014,Pre-Statcast (2014 MVP),2,2,3,-0.17041310104946983,3.099806623284478,strikeout,Out
2014,Pre-Statcast (2014 MVP),4,1,2,-0.278065454165902,2.303196759461988,field_out,Out
2014,Pre-Statcast (2014 MVP),5,2,2,0.0838219235459926,2.5102620286719963,single,Hit
2014,Pre-Statcast (2014 MVP),9,3,1,0.5526728686203282,1.8118658021068716,field_out,Out
2014,Pre-Statcast (2014 MVP),2,2,3,-0.1656269817776802,3.2984727751129723,field_out,Out
2014,Pre-Statcast (2014 MVP),4,1,2,-0.5815737735815866,2.4263414708323565,field_out,Out
2014,Pre-Statcast (2014 MVP),4,1,2,-0.5520457179675469,2.395844668986016,single,Hit
2014,Pre-Statcast (2014 MVP),2,2,3,-0.03845402881787052,3.505727450338881,strikeout,Out
2014,Pre-Statcast (2014 MVP),5,2,2,-0.09525681309048506,2.839603491494246,field_out,Out
2014,Pre-Statcast (2014 MVP),8,2,1,0.05272438139849256,1.9732315115243648,home_run,Hit
2014,Pre-Statcast (2014 MVP),6,3,2,0.4684818180409651,2.689640566295415,field_out,Out
2014,Pre-Statcast (2014 MVP),8,2,1,-0.14291729643691853,1.6634457428509246,double,Hit
2014,Pre-Statcast (2014 MVP),7,1,1,-0.5907217866110139,2.0837204891215446,single,Hit
2014,Pre-Statcast (2014 MVP),4,1,2,-0.4932702042559403,2.2676843808672658,field_out,Out
2014,Pre-Statcast (2014 MVP),9,3,1,0.6999234902238858,2.084013450146208,field_out,Out
2014,Pre-Statcast (2014 MVP),2,2,3,-0.1871238122654648,3.3400647557612517,strikeout,Out
2014,Pre-Statcast (2014 MVP),1,1,3,-0.5131789407277104,3.4385051990766913,strikeout,Out
2014,Pre-Statcast (2014 MVP),3,3,3,0.28255264141718994,3.291556118404539,home_run,Hit
2014,Pre-Statcast (2014 MVP),9,3,1,0.42117207270072554,2.1759440140709096,grounded_into_double_play,Out
2014,Pre-Statcast (2014 MVP),1,1,3,-0.567335399586371,3.105406805373627,strikeout,Out
2014,Pre-Statcast (2014 MVP),7,1,1,-0.80659513034814,1.918269405784535,single,Hit
2014,Pre-Statcast (2014 MVP),5,2,2,-0.04913644788474947,2.2800577898586907,field_out,Out
2014,Pre-Statcast (2014 MVP),6,3,2,0.6264703803545446,2.929989215947673,strikeout,Out
2014,Pre-Statcast (2014 MVP),9,3,1,0.417827082353752,1.6840777737033283,force_out,Out
2014,Pre-Statcast (2014 MVP),8,2,1,-0.17444951495794148,2.1927676052598812,field_out,Out
2014,Pre-Statcast (2014 MVP),6,3,2,0.43682133903928766,2.388980543065347,strikeout,Out
2014,Pre-Statcast (2014 MVP),9,3,1,0.4955254892853469,1.903758887921935,field_out,Out
2014,Pre-Statcast (2014 MVP),9,3,1,0.7505530781209441,2.0762026618157075,triple,Hit
2014,Pre-Statcast (2014 MVP),7,1,1,-0.33278036152190116,1.5948351532088685,field_out,Out
2014,Pre-Statcast (2014 MVP),7,1,1,-0.7514981954569959,2.2146777780081974,field_out,Out
