year,era,zone,x,y,name,pitches,swings,swing_pct
2014,Pre-Statcast (2014 MVP),1,1,3,Up-In,143,78,54.5
2014,Pre-Statcast (2014 MVP),2,2,3,Up-Mid,171,84,49.1
2014,Pre-Statcast (2014 MVP),3,3,3,Up-Away,98,40,40.8
2014,Pre-Statcast (2014 MVP),4,1,2,Mid-In,184,111,60.3
2014,Pre-Statcast (2014 MVP),5,2,2,Heart,233,146,62.7
2014,Pre-Statcast (2014 MVP),6,3,2,Mid-Away,206,96,46.6
2014,Pre-Statcast (2014 MVP),7,1,1,Low-In,136,88,64.7
2014,Pre-Statcast (2014 MVP),8,2,1,Low-Mid,185,106,57.3
2014,Pre-Statcast (2014 MVP),9,3,1,Low-Away,216,98,45.4
2019,Post-Statcast (2019 MVP),1,1,3,Up-In,117,43,36.8
2019,Post-Statcast (2019 MVP),2,2,3,Up-Mid,142,83,58.5
2019,Post-Statcast (2019 MVP),3,3,3,Up-Away,106,49,46.2
2019,Post-Statcast (2019 MVP),4,1,2,Mid-In,144,99,68.8
2019,Post-Statcast (2019 MVP),5,2,2,Heart,137,106,77.4
2019,Post-Statcast (2019 MVP),6,3,2,Mid-Away,192,111,57.8
2019,Post-Statcast (2019 MVP),7,1,1,Low-In,84,52,61.9
2019,Post-Statcast (2019 MVP),8,2,1,Low-Mid,123,71,57.7
2019,Post-Statcast (2019 MVP),9,3,1,Low-Away,143,73,51
